id,timestamp,direction,src_ip,dst_ip,src_port,dst_port,protocol,src_mac,dst_mac,iface,packet_len,ip_ttl,ip_tos,tcp_flags,dns_qname,dns_answer_ip,tls_sni,ndpi_master_proto,ndpi_app_proto,ndpi_category,dst_geo_country,dst_geo_city,decision_action,decision_rule_id
7058,2025-12-07T15:07:46.010024,inbound,3.219.87.227,10.20.0.164,443,42098,tcp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,1304,244,,,,,,Unknown,TLS,Web,,,allow,
7059,2025-12-07T15:07:46.760865,outbound,10.20.0.164,10.20.0.1,49681,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7060,2025-12-07T15:07:46.765046,outbound,10.20.0.1,10.20.0.164,53,49681,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,167,64,,,,,,Unknown,DNS,Network,,,allow,
7061,2025-12-07T15:07:46.768749,outbound,10.20.0.110,10.20.0.1,36800,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,94,64,,,,,,Unknown,DNS,Network,,,allow,
7062,2025-12-07T15:07:46.779889,outbound,10.20.0.1,10.20.0.110,53,36800,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,157,64,,,,,,Unknown,DNS,Network,,,allow,
7063,2025-12-07T15:07:46.784645,outbound,10.20.0.110,10.20.0.1,46118,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,94,64,,,,,,Unknown,DNS,Network,,,allow,
7064,2025-12-07T15:07:46.789052,outbound,10.20.0.1,10.20.0.110,53,46118,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,157,64,,,,,,Unknown,DNS,Network,,,allow,
7065,2025-12-07T15:07:46.794587,outbound,10.20.0.110,10.20.0.1,35963,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,108,64,,,,,,Unknown,DNS,Network,,,allow,
7066,2025-12-07T15:07:46.798017,outbound,10.20.0.1,10.20.0.110,53,35963,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,172,64,,,,,,Unknown,DNS,Network,,,allow,
7067,2025-12-07T15:07:46.801349,outbound,10.20.0.164,54.83.21.156,37394,443,tcp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,1637,64,,,,,httpbin.org,TLS,AmazonAWS,Cloud,US,Ashburn,allow,
7068,2025-12-07T15:07:46.803768,outbound,10.20.0.110,10.20.0.1,55722,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,88,64,,,,,,Unknown,DNS,Network,,,allow,
7069,2025-12-07T15:07:46.805975,outbound,10.20.0.1,10.20.0.110,53,55722,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,144,64,,,,,,Unknown,DNS,Network,,,allow,
7070,2025-12-07T15:07:46.808062,outbound,10.20.0.110,172.67.167.151,43734,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1654,64,,,,,jsonplaceholder.typicode.com,TLS,Cloudflare,Web,,,allow,
7071,2025-12-07T15:07:46.810202,inbound,172.67.167.151,10.20.0.110,443,43734,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,59,,,,,,TLS,Cloudflare,Web,,,allow,
7072,2025-12-07T15:07:46.812792,inbound,54.83.21.156,10.20.0.164,443,37394,tcp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,1304,244,,,,,,TLS,AmazonAWS,Cloud,,,allow,
7073,2025-12-07T15:07:46.818170,outbound,10.20.0.110,10.20.0.1,34716,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,78,64,,,,,,Unknown,DNS,Network,,,allow,
7074,2025-12-07T15:07:46.821329,outbound,10.20.0.1,10.20.0.110,53,34716,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,110,64,,,,,,Unknown,DNS,Network,,,allow,
7075,2025-12-07T15:07:46.830454,outbound,10.20.0.110,104.16.253.120,40082,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1644,64,,,,,jax.readthedocs.io,TLS,Cloudflare,Web,,,allow,
7076,2025-12-07T15:07:46.833081,inbound,104.16.253.120,10.20.0.110,443,40082,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,59,,,,,,TLS,Cloudflare,Web,,,allow,
7077,2025-12-07T15:07:46.836502,outbound,10.20.0.190,10.20.0.1,59389,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,99,64,,,,,,Unknown,DNS,Network,,,allow,
7078,2025-12-07T15:07:46.839210,outbound,10.20.0.110,10.20.0.1,47699,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,82,64,,,,,,DNS,GoogleServices,Web,,,allow,
7079,2025-12-07T15:07:46.841764,outbound,10.20.0.1,10.20.0.110,53,47699,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,146,64,,,,,,DNS,GoogleServices,Web,,,allow,
7080,2025-12-07T15:07:46.844268,outbound,10.20.0.1,10.20.0.190,53,59389,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,162,64,,,,,,Unknown,DNS,Network,,,allow,
